id	familia	alternativa	target	sha_fuente	sha_mutado	compila	muerte	duracion_ns	stdout_hex	stderr_hex	oraculo
V3B011	B21	TERMINAL-separado	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	8b93152af4ece1cb9385453694e8fc0c6cc6465acaaad38c5ac7a8abfbea3eaf	0	AST-CFG-SEMANTICO	4647298204	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a205445524d494e414c2d6e6f2d73616c652d736570617261646f	TERMINAL-no-sale-separado
V3B012	B21A	invertir-transferencias	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	78b3ec7f4ab1f7d04bf4296d933e867d82ed988bf3462169a6219f39b99f0053	0	CONDUCTUAL	5822680771	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e323273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a2065786974207374617475732036353a200a2d2d2d204641494c3a205465737448616e646f66664f33624f7264656e614f627365727661646f72416e74657344654c656173652028302e303173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a3133333a206f7264656e2070726f6475637469766f20696e76c3a16c69646f3a205b7472616e7366657269724c656173654361707475726164614f33624d3338207472616e7366657269724f627365727661646f7243617074757261646f4f33624d3338207472616e7366657269724c656173654361707475726164614f33624d33385d0a4641494c0a	70727565626173204f33622065737461646f3d31	observador-primero
V3B013	B21A	omitir-prevalidacion	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	2841f9b380f25fe830400f7776f83303130fe2e6abe56afa0b23bd1b90091db8	0	AST-CFG-SEMANTICO	4922110233	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2070726576616c69646163696f6e2d636f6e6a756e7461	prevalidacion-conjunta
V3B014	B21A	retornar-B4T	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	cbe5d5f9a30d579b95da428d10dfab532bd272fc826e4b50425517d10a1903e3	0	AST-CFG-SEMANTICO	5160492620	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a204234542d6e6f2d7265746f726e61	B4T-no-retorna
V3B015	B21A	rollback-parcial	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	0a92de2c328f787799433f59081a07d209139cc9af25ddb4b7295baeb8c6b455	0	AST-CFG-SEMANTICO	4809644206	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d726f6c6c6261636b2d7061726369616c	sin-rollback-parcial
V3B016	B22	conservar-writer	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	95ee2e5294ec47c02fac01770653c83cc7128feb3e0191cae4c18a3a0ab658d9	0	AST-CFG-SEMANTICO	4698773285	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a207772697465722d6e6f2d73652d7472616e736669657265	writer-no-se-transfiere
V3B017	B22	perder-CONTROL	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	886a44330cd74ef6c08b53f2a5f6c23d142b9af474ffeda1c925e83d7fc2b06d	0	CONDUCTUAL	4776735271	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313373290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a20657869742073746174757320323a200a4641494c0a	70727565626173204f33622065737461646f3d31	CONTROL-conservado
V3B018	B22	perder-TERMINAL	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	aedcf39c569998eb74e1474ae6978ffd4049043468e5d11d8b66c51b66378739	0	CONDUCTUAL	5133755291	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a20657869742073746174757320323a200a4641494c0a	70727565626173204f33622065737461646f3d31	TERMINAL-conservado
V3B019	B23	plazo-180s	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	9b58b98ee324afd5db1b685e0203e96147bcfc708c0b75b54617e94326d51538	0	AST-CFG-SEMANTICO	6301015102	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d706c617a6f2d31383073	sin-plazo-180s
V3B020	B23	CONT-en-O3b	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	f3b17a9925d4983a1e89cf9743bcb8df245f28d11c313dee36c610cfe122ca59	0	AST-CFG-SEMANTICO	6912587683	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d434f4e54	sin-CONT
V3B021	B24	Wait-fuera-retirada	identidad	803b9a343934e5423e0d3f5f5f4cbfee86f7321790d979e017254a924ac2be7a	9a55185d6667314461dedcb1d898177c59161ca9885398863c935e8fd7b60b58	0	CONDUCTUAL	13564499442		70727565626173204f33622065737461646f3d313234	Wait-solo-retirada
V3B022	B24	Wait-antes-terminalidad	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	17c9aefda591f76b3fd06fa6e4e1e95c01254377d87afb74511d25aeab9c1aab	0	CONDUCTUAL	15300100367		70727565626173204f33622065737461646f3d313234	Wait-tras-terminalidad
V3B023	B25	senal-grupo	stop	99ae6fc4267062863f7e5adbccbe9e3698f08f114f107fd07f8cb6ed2f4af5f2	c1ece87ab150b2e3f11ac32061f8f940d140a0cbf87652ac8979347814e4ef92	0	CONDUCTUAL	3712288791	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a2065786974207374617475732036353a200a2d2d2d204641494c3a205465737448616e646f66664f33624e6567617469766f734e6f5472616e7366696572656e2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a38323a206e6567617469766f20636f6e7461646f723a2065786974207374617475732036353a200a2d2d2d204641494c3a205465737448616e646f66664f3362496e76656e746172696f50726573657276614c65617365466174616c2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a3136343a20696e76656e746172696f206f63756c74c3b3206c656173653a2065786974207374617475732036353a200a2d2d2d204641494c3a20546573744964656e74696461644f33624578616374615265616c2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f6964656e74696461645f746573742e676f3a39393a206964656e7469646164207265616c3a20657869742073746174757320333a200a2d2d2d204641494c3a205465737453746f704f33624175746f53746f705265616c53696e53656e616c476f2028302e303173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f73746f705f746573742e676f3a36373a206175746f2d53544f50207265616c3a20657869742073746174757320323a200a4641494c0a	70727565626173204f33622065737461646f3d31	retirada-no-senal-grupo
V3B024	B25	PID-numerico	stop	99ae6fc4267062863f7e5adbccbe9e3698f08f114f107fd07f8cb6ed2f4af5f2	18f80965a78ac1d11dec4a2ec308b8c2eed4df0cd6b1356a3ae6850f8968a9e0	0	CONDUCTUAL	3710831873	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a2065786974207374617475732036353a200a2d2d2d204641494c3a205465737448616e646f66664f33624e6567617469766f734e6f5472616e7366696572656e2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a38323a206e6567617469766f20636f6e7461646f723a2065786974207374617475732036353a200a2d2d2d204641494c3a205465737448616e646f66664f3362496e76656e746172696f50726573657276614c65617365466174616c2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a3136343a20696e76656e746172696f206f63756c74c3b3206c656173653a2065786974207374617475732036353a200a2d2d2d204641494c3a20546573744964656e74696461644f33624578616374615265616c2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f6964656e74696461645f746573742e676f3a39393a206964656e7469646164207265616c3a20657869742073746174757320333a200a2d2d2d204641494c3a205465737453746f704f33624175746f53746f705265616c53696e53656e616c476f2028302e303173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f73746f705f746573742e676f3a36373a206175746f2d53544f50207265616c3a20657869742073746174757320353a200a4641494c0a	70727565626173204f33622065737461646f3d31	retirada-no-PID
V3B025	B25	reabrir-identidad	stop	99ae6fc4267062863f7e5adbccbe9e3698f08f114f107fd07f8cb6ed2f4af5f2	01ba9cada8e0fc70e8a90caf870d0417ab9a7ba029ecfd44a242fdd6919d7567	0	CONDUCTUAL	4009338881	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a20657869742073746174757320323a200a2d2d2d204641494c3a205465737453746f704f33624175746f53746f705265616c53696e53656e616c476f2028302e303173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f73746f705f746573742e676f3a36373a206175746f2d53544f50207265616c3a20657869742073746174757320323a200a4641494c0a	70727565626173204f33622065737461646f3d31	proc-no-pin
V3B026	B25A	omitir-finRetirada	o3a	a8eb81a65fd2ef7183fa2a4d6c3630f4ed733034ca680f64d2b2eb3a9789974a	f6929c8ba85dbf3233afed5f2eea078294e988136597d9bc51c7f7f6bf545cad	0	AST-CFG-SEMANTICO	4086715197	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2066696e52657469726164612d6f626c696761746f72696f	finRetirada-obligatorio
V3B027	B25A	recrear-finRetirada	o3a	a8eb81a65fd2ef7183fa2a4d6c3630f4ed733034ca680f64d2b2eb3a9789974a	52ddb79a06c56344efe129135adc7810d49eb142528778b07a63381021284696	0	AST-CFG-SEMANTICO	4015834125	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2066696e52657469726164612d6e6f2d726563726561646f	finRetirada-no-recreado
V3B028	B25A	reiniciar-o-ampliar	o3a	a8eb81a65fd2ef7183fa2a4d6c3630f4ed733034ca680f64d2b2eb3a9789974a	f25ed1cb64bfb51511bdcd1c511d8f6a1610696b47bc41f6f75e2f083147f335	0	AST-CFG-SEMANTICO	4406617935	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2066696e52657469726164612d6e6f2d616d706c6961646f	finRetirada-no-ampliado
V3B029	B25A	no-limitar-bootstrap	o3a	a8eb81a65fd2ef7183fa2a4d6c3630f4ed733034ca680f64d2b2eb3a9789974a	9db73820e64bfc1ef9883ccdca1f7d105c97329ea2c21ea36d156054a9cb0518	0	AST-CFG-SEMANTICO	3861917619	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2066696e52657469726164612d6c696d697461646f2d626f6f747374726170	finRetirada-limitado-bootstrap
V3B030	B26	retorno-BF	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	cbe5d5f9a30d579b95da428d10dfab532bd272fc826e4b50425517d10a1903e3	0	AST-CFG-SEMANTICO	3181131262	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2042462d6e6f2d7265746f726e61	BF-no-retorna
V3B031	B26	log-BF	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	0dac2ef23f621e0a11a4456769a91526d8a671e53290290c457416eb4e6e0dbf	0	AST-CFG-SEMANTICO	4019493381	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2042462d73696e2d6c6f67	BF-sin-log
V3B032	B26	cierre-BF	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	169a3c94ed0896c522f3151cdb3801c062f7ea0c1cf8518f8da12c0b66d675a9	0	AST-CFG-SEMANTICO	3887731389	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2042462d73696e2d636965727265	BF-sin-cierre
V3B033	B26	ES-BF	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	66aa50327ddf81f8d821b207dc820a419f3a93fa4c534e7d0b9321b3979ab4b4	0	AST-CFG-SEMANTICO	4179476204	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2042462d73696e2d4553	BF-sin-ES
V3B034	B27	goroutine	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	bf10b444096ea5c6b16140e14a29af783eaf7ec6cc1229ec24f2b4e3e2a0595e	0	AST-CFG-SEMANTICO	5905318277	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d676f726f7574696e65	sin-goroutine
V3B035	B27	callback	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	ae371ab083a9cb168b7470d4cf983fd4ee2998d7c32af089295a37fddb3b4bb6	0	AST-CFG-SEMANTICO	4397296627	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d63616c6c6261636b	sin-callback
V3B036	B27	global-mutable	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	65557d8012cd5cd77ecb11ec551f722da2d86fbabf88fcb2b406df8092f5d2d9	0	AST-CFG-SEMANTICO	4062658554	504153530a	676c6f62616c206d757461626c652070726573656e7465	sin-global-mutable
V3B037	B27	init	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	4817c36ddf84d90ed914cec895af9a3085b6eedeca219838edd6fed698db7b33	0	AST-CFG-SEMANTICO	4045500681	504153530a	696e69742070726f68696269646f2070726573656e7465	sin-init
V3B038	B27	hook	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	cc0cb064b654624dbd95b0de5590ce83f07aacd7c57d9ed0cfbe368660a340ba	0	AST-CFG-SEMANTICO	4343579766	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d686f6f6b	sin-hook
V3B039	B27	segundo-owner	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	7e60b3286a712a8fce954c055e62fffe338d0b2d75086a88dc71eebfcd62316c	0	AST-CFG-SEMANTICO	4241574480	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a206f776e65722d756e69636f	owner-unico
V3B040	B28	arista-O3c	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	8f2ae91486020c9a0989cf6350c484e496700ddc8e1e49f2896816a178d27e52	0	AST-CFG-SEMANTICO	4075942502	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d6172697374612d4f3363	sin-arista-O3c
V3B041	B28	arista-O4	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	4ed44d18c0cc46f1a37f2c3df93698f3c0c68b7a33e02fc4b1ec98cec17bd971	0	AST-CFG-SEMANTICO	4348521487	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d6172697374612d4f34	sin-arista-O4
V3B042	B28	arista-O5	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	6559466adda644be9ce349edf74aaf3ee47f324f11cfd36bd6216fd52a62aea1	0	AST-CFG-SEMANTICO	3948699027	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d6172697374612d4f35	sin-arista-O5
V3B043	B28	parser-G4-o-inversa	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	a4f9be0ccfd397543b0caad814ccbb03653e8a8131311940581de12ddcd9727a	0	AST-CFG-SEMANTICO	4170149641	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2073696e2d7061727365722d696e766572736f	sin-parser-inverso
V3B044	B29	omitir-inventario	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	75b0ade81687d36bdd5b3bf855b22598d61938bf24be8764fa1443906d42e84b	0	CONDUCTUAL	4281677466	2d2d2d204641494c3a205465737448616e646f66664f33624e6567617469766f734e6f5472616e7366696572656e2028302e333473290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a38323a206e6567617469766f207465726d696e616c3a20657869742073746174757320343a200a4641494c0a	70727565626173204f33622065737461646f3d31	inventario-obligatorio
V3B045	B29	lease-pending	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	3ef37ad5549365c0a33bf45fd1169cea68f89a77826f6c5dc44323f8be4a5b60	0	CONDUCTUAL	4291556892	2d2d2d204641494c3a205465737448616e646f66664f3362496e76656e746172696f50726573657276614c65617365466174616c2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a3136343a20696e76656e746172696f206f63756c74c3b3206c656173653a20657869742073746174757320323a200a4641494c0a	70727565626173204f33622065737461646f3d31	lease-transferida
V3B046	B29	omitir-revalidacion-fisica	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	f51aff4f72a77dd7babdc6115f2ae6822904a2cdfe0df6840477b58af5f467ad	0	AST-CFG-SEMANTICO	3952026993	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a20736e617073686f742d66697369636f	snapshot-fisico
V3B047	B29	omitir-cierre-causal	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	f9baa1a25d0eb42fbf2211874334760fb220758b942d09a6668b26bc1ce2be84	0	CONDUCTUAL	4219551400	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a20657869742073746174757320323a200a4641494c0a	70727565626173204f33622065737461646f3d31	cierre-ticket-causal
V3B048	B30	falsear-residuos	conductor	5561475016a1cf2b59602e441dd825399356099f84bdcd33a3864169e9374343	2aa58cc2931d49aacdc72c28f5f32bd22b4febd75ae421b97e9e5f97958cfd39	0	META-B30	2822468		66697874757265206d6174612066616c736561722d7265736964756f732065737461646f3d3430207374646f75743d207374646572723d	residuos-no-falseados
V3B049	B30	reutilizar-caso-fallido	conductor	5561475016a1cf2b59602e441dd825399356099f84bdcd33a3864169e9374343	2bc76e439f6bc4ccacbd958402eddcc2b25e673ca921c96009b909bdcc678013	0	META-B30	3571213		66697874757265206d6174612072657574696c697a61722d6361736f2d66616c6c69646f2065737461646f3d3431207374646f75743d207374646572723d	caso-fallido-no-se-reutiliza
V3B050	B30	aceptar-SKIP	conductor	5561475016a1cf2b59602e441dd825399356099f84bdcd33a3864169e9374343	ed3ccf668945a87296d8ae2e1060d546a594b88b83f159f6e5ae9c690351a178	0	META-B30	4123592		66697874757265206d61746120616365707461722d534b49503a206361736f206e6f20656a6563757461646f	SKIP-prohibido
