id	familia	alternativa	archivo	antes_hex	despues_hex	oraculo
C032	C05	extender-bootstrap	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	632e66696e426f6f747374726170203d3d20732e66696e426f6f747374726170	632e66696e426f6f7473747261702e416674657228732e66696e426f6f74737472617029	bootstrap-no-extendido
C033	C05	ignorar-vencimiento	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	2161686f72614361736f2e4265666f726528632e66696e426f6f74737472617029	66616c7365	vencimiento-cero-CONT
C034	C06	omitir-primario	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	666961626c655072696d6172696f203a3d206572725072696d6172696f203d3d206e696c202626206572725669766f5072696d6172696f203d3d206e696c202626207669766f5072696d6172696f	5f203d206572725072696d6172696f3b205f203d206572725669766f5072696d6172696f3b205f203d207669766f5072696d6172696f3b20666961626c655072696d6172696f203a3d2074727565	primario-acreditado
C035	C06	omitir-reserva	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	666961626c6552657365727661203a3d2065727252657365727661203d3d206e696c202626206572725669766f52657365727661203d3d206e696c202626207669766f52657365727661	5f203d20657272526573657276613b205f203d206572725669766f526573657276613b205f203d207669766f526573657276613b20666961626c6552657365727661203a3d2074727565	reserva-acreditada
C036	C06	omitir-handle	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	6572724f7061636f20213d206e696c	66616c7365	handle-opaco-acreditado
C037	C06	aceptar-cuarta	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	7265666572656e6369617320213d2033	7265666572656e6369617320213d2034	exactamente-tres-referencias
C038	C06	duplicar	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	61637475616c2c20657272203a3d20736e617073686f74426172726572614f33624d3338286329	5f2c205f203d2073797363616c6c2e44757028632e70696466645072696d6172696f293b2061637475616c2c20657272203a3d20736e617073686f74426172726572614f33624d3338286329	sin-dup
C039	C06	promover-reserva	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e7470747228632e70696466645072696d6172696f29	75696e7470747228632e70696466645265736572766129	CONT-solo-primario
C040	C07	aceptar-terminalidad	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	21666961626c655072696d6172696f2026262021666961626c6552657365727661	66616c7365	terminalidad-preCONT-retira
C041	C07	aceptar-flags	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	7072696d6172696f2e6664666c6167732673797363616c6c2e46445f434c4f45584543203d3d2030	66616c7365	CLOEXEC-obligatorio
C042	C07	ruta-proc-distinta	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	6c6565725374617453746f704f33624d333828612e637573746f64696129	6f732e5265616446696c6528222f70726f632f73656c662f737461742229	proc-unico-del-PID
C043	C07	omitir-T	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	612e6964656e74696461642e65737461646f203d3d20275427	74727565	proc-estado-T
C044	C07	omitir-PID	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	612e6964656e74696461642e706964203d3d20632e636d642e50726f636573732e506964	74727565	proc-PID
C045	C07	omitir-PPID	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	612e6964656e74696461642e70706964203e2030	74727565	proc-PPID
C046	C07	omitir-PGID	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	612e6964656e74696461642e70676964203d3d20632e636d642e50726f636573732e506964	74727565	proc-PGID
C047	C07	omitir-SID	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	612e6964656e74696461642e736964203e2030	74727565	proc-SID
C048	C07	omitir-starttime	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	612e6964656e74696461642e696e6963696f203e2030	74727565	proc-starttime
C049	C08	compartir-permiso	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	72657475726e206f7065726172436f6e4c65617365426172726572614f33624d333828632c206f7065726163696f6e29	72657475726e206f7065726163696f6e2829	permiso-lease-por-syscall
C050	C08	forjar-permiso	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	702e6c65617365203d3d206c	74727565	permiso-no-forjado
C051	C08	omitir-comenzar	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	6f7065726172436f6e4c65617365426172726572614f33624d333828632c206f7065726163696f6e29	6f7065726163696f6e2829	comenzar-obligatorio
C052	C08	omitir-consolidar	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	6c2e65737461646f2e436f6d70617265416e645377617028322c20702e65737461646f50726576696f29	74727565	consolidacion-inmediata
C053	C09	deadline-antes	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	61686f72614361736f203a3d2074696d652e4e6f772829	66696e4361736f2c205f203a3d2066696e4361736f45786163746f4f33634d33382874696d652e4e6f772829293b2061686f72614361736f203a3d2074696d652e4e6f7728293b205f203d2066696e4361736f	deadline-tras-reloj-final
C054	C09	deadline-despues	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	66696e4361736f2c206d6172636156616c696461203a3d2066696e4361736f45786163746f4f33634d33382861686f72614361736f29	66696e4361736f2c206d6172636156616c696461203a3d2061686f72614361736f2c2074727565	deadline-antes-CONT
C055	C09	deadline-doble	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	66696e4361736f2c206d6172636156616c696461203a3d2066696e4361736f45786163746f4f33634d33382861686f72614361736f29	66696e4361736f2c206d6172636156616c696461203a3d2066696e4361736f45786163746f4f33634d33382861686f72614361736f293b2066696e4361736f2c206d6172636156616c696461203d2066696e4361736f45786163746f4f33634d33382861686f72614361736f29	deadline-unico
C056	C09	179-segundos	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	6475726163696f6e4361736f4f33634d333820202020203d20313830202a2074696d652e5365636f6e64	6475726163696f6e4361736f4f33634d333820202020203d20313739202a2074696d652e5365636f6e64	deadline-180s
C057	C09	181-segundos	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	6475726163696f6e4361736f4f33634d333820202020203d20313830202a2074696d652e5365636f6e64	6475726163696f6e4361736f4f33634d333820202020203d20313831202a2074696d652e5365636f6e64	deadline-180s
C058	C09	aceptar-overflow	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	7469656d706f4d6f6e6f746f6e6f4f33634d33382866696e292026262066696e2e41667465722861686f726129	7469656d706f4d6f6e6f746f6e6f4f33634d33382866696e29	overflow-rechazado
C059	C10	insertar-syscall	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	5f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	5f203d2073797363616c6c2e47657474696d656f66646179286e696c293b205f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	sin-syscall-entre-marca-CONT
C060	C10	insertar-reloj	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	5f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	5f203d2074696d652e4e6f7728293b205f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	sin-reloj-entre-marca-CONT
C061	C10	insertar-log	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	5f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	7072696e746c6e2822434f4e5422293b205f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	sin-log-entre-marca-CONT
C062	C10	insertar-asignacion	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	5f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	696e7465726d6564696f203a3d206d616b65285b5d627974652c2031293b205f203d20696e7465726d6564696f3b205f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	sin-asignacion-falible
C063	C10	insertar-IO	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	5f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	5f2c205f203d2073797363616c6c2e577269746528312c206e696c293b205f2c205f2c207265746f726e6f526177203a3d2073797363616c6c2e53797363616c6c36	sin-IO-entre-marca-CONT
C064	C11	senal-cero	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e747074722873797363616c6c2e534947434f4e5429	30	SIGCONT-exacto
C065	C11	senal-STOP	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e747074722873797363616c6c2e534947434f4e5429	75696e747074722873797363616c6c2e53494753544f5029	SIGCONT-exacto
C066	C11	senal-TERM	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e747074722873797363616c6c2e534947434f4e5429	75696e747074722873797363616c6c2e5349475445524d29	SIGCONT-exacto
C067	C11	senal-KILL	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e747074722873797363616c6c2e534947434f4e5429	75696e747074722873797363616c6c2e5349474b494c4c29	SIGCONT-exacto
C068	C11	flag-cero	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e747074722873797363616c6c2e534947434f4e54292c20302c2070696466645369676e616c477275706f4f33634d33382c20302c2030	75696e747074722873797363616c6c2e534947434f4e54292c20302c20302c20302c2030	flag-grupo
C069	C11	PID-numerico	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e7470747228632e70696466645072696d6172696f29	75696e7470747228632e636d642e50726f636573732e50696429	sin-PID-signal
C070	C11	PGID-numerico	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	75696e7470747228632e70696466645072696d6172696f29	75696e74707472282d632e636d642e50726f636573732e50696429	sin-PGID-signal
C071	C12	reintentar-CONT	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	69662021636f6e736f6c69646172436f6e744f33634d3338	5f2c205f2c205f203d2073797363616c6c2e53797363616c6c3628737973506964666453656e645369676e616c2c2075696e7470747228632e70696466645072696d6172696f292c2075696e747074722873797363616c6c2e534947434f4e54292c20302c2070696466645369676e616c477275706f4f33634d33382c20302c2030293b2069662021636f6e736f6c69646172436f6e744f33634d3338	CONT-un-intento
C072	C12	EINTR-no-intento	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	612e73616c6964612e7265746f726e6f436f6e74203d20696e74287265746f726e6f52617729	6966207265746f726e6f52617720213d2073797363616c6c2e45494e5452207b20612e73616c6964612e7265746f726e6f436f6e74203d20696e74287265746f726e6f52617729207d	EINTR-consume-intento
C073	C12	perder-raw	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	612e73616c6964612e7265746f726e6f436f6e74203d20696e74287265746f726e6f52617729	5f203d207265746f726e6f5261773b20612e73616c6964612e7265746f726e6f436f6e74203d2030	retorno-raw-conservado
C074	C13	CONT-tras-bootstrap	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_cont.go	2161686f72614361736f2e4265666f726528632e66696e426f6f74737472617029	61686f72614361736f2e4265666f726528632e66696e426f6f74737472617029	CONT-antes-bootstrap
C075	C14	poll-bloqueante	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	75696e747074722863617264696e616c69646164292c203029	75696e747074722863617264696e616c69646164292c203129	poll-timeout-cero
C076	C14	omitir-poll	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	6e2c205f2c206572726e6f203d2073797363616c6c2e53797363616c6c	6e2c206572726e6f203d20302c20303b205f2c205f2c205f203d2073797363616c6c2e53797363616c6c	poll-unico
C077	C14	confundir-vacio	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	72657475726e206f62736572766163696f6e5069646664566163696f4f33634d3338	72657475726e206f62736572766163696f6e50696466645465726d696e616c4e61747572616c4f33634d3338	vacio-exacto
C078	C14	confundir-POLLIN	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	72657475726e206f62736572766163696f6e50696466645465726d696e616c4e61747572616c4f33634d3338	72657475726e206f62736572766163696f6e5069646664496e667261657374727563747572614f33634d3338	POLLIN-natural
C079	C14	confundir-infra	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	72657475726e206f62736572766163696f6e5069646664496e667261657374727563747572614f33634d33380a7d0a0a66756e63206f6273657276617250696466644f33634d3338	72657475726e206f62736572766163696f6e5069646664566163696f4f33634d33380a7d0a0a66756e63206f6273657276617250696466644f33634d3338	bits-extra-infra
C080	C14	variante-fuera-union	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	72657475726e2064203e3d206f62736572766163696f6e436f6e74726f6c5261774f33634d3338	72657475726e206420213d2030	union-cerrada
C081	C15	senal-antes-CONTROL	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	696620657272203a3d206c656572436f6e74726f6c4f33624d333828612e637573746f646961293b2065727220213d206e696c207b	5f2c205f203d206175746f726964616453656e616c4f33634d333828612e637573746f646961293b20696620657272203a3d206c656572436f6e74726f6c4f33624d333828612e637573746f646961293b2065727220213d206e696c207b	CONTROL-antes-senal
C082	C15	pidfd-antes-senal	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	73656e616c56657264652c20657272203a3d206175746f726964616453656e616c4f33634d333828612e637573746f64696129	5f203d206f6273657276617250696466644f33634d33382861293b2073656e616c56657264652c20657272203a3d206175746f726964616453656e616c4f33634d333828612e637573746f64696129	senal-antes-pidfd
C083	C15	consultar-pidfd-tras-raw	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	72657475726e20696e7374616c61724f62736572766163696f6e4f33634d333828612c206f62736572766163696f6e436f6e74726f6c5261774f33634d333829	5f203d206f6273657276617250696466644f33634d33382861293b2072657475726e20696e7374616c61724f62736572766163696f6e4f33634d333828612c206f62736572766163696f6e436f6e74726f6c5261774f33634d333829	raw-corta-pidfd
C084	C15	combinar-discriminantes	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	75696e743332286429	75696e7433322864297c75696e743332286f62736572766163696f6e436f6e74726f6c5261774f33634d333829	un-discriminante
C085	C16	omitir-discriminante	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	436f6d70617265416e645377617028302c2075696e74333228642929	436f6d70617265416e645377617028302c203029	discriminante-obligatorio
C086	C16	sustituir-discriminante	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	612e65737461646f203d20636f6e74696e756163696f6e43334f627365727661646f4d3338	612e73616c6964612e7072696d6572612e53746f72652875696e743332286f62736572766163696f6e5069646664566163696f4f33634d333829293b20612e65737461646f203d20636f6e74696e756163696f6e43334f627365727661646f4d3338	observacion-inmutable
C087	C16	segundo-CAS	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	612e65737461646f203d20636f6e74696e756163696f6e43334f627365727661646f4d3338	5f203d20612e73616c6964612e7072696d6572612e436f6d70617265416e64537761702875696e7433322864292c2075696e743332286429293b20612e65737461646f203d20636f6e74696e756163696f6e43334f627365727661646f4d3338	CAS-unico
C088	C16	fijar-causa	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	612e65737461646f203d20636f6e74696e756163696f6e43334f627365727661646f4d3338	6361757361203a3d20643b205f203d2063617573613b20612e65737461646f203d20636f6e74696e756163696f6e43334f627365727661646f4d3338	sin-causa-funcional
C089	C17	lease-owner-primero	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_handoff.go	21612e6175746f72696461642e6f776e65724f627365727661646f722e436f6d70617265416e64537761702875696e7433322870726f706965746172696f4f33634d3338292c2075696e7433322870726f706965746172696f4f34614d33382929207c7c0a090921612e6175746f72696461642e6f776e65724c656173652e436f6d70617265416e64537761702875696e7433322870726f706965746172696f4f33634d3338292c2075696e7433322870726f706965746172696f4f34614d33382929	21612e6175746f72696461642e6f776e65724c656173652e436f6d70617265416e64537761702875696e7433322870726f706965746172696f4f33634d3338292c2075696e7433322870726f706965746172696f4f34614d33382929207c7c0a090921612e6175746f72696461642e6f776e65724f627365727661646f722e436f6d70617265416e64537761702875696e7433322870726f706965746172696f4f33634d3338292c2075696e7433322870726f706965746172696f4f34614d33382929	owner-observador-primero
C090	C17	revertir-1-1	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_handoff.go	612e65737461646f203d20636f6e74696e756163696f6e4335456e7472656761646f4d3338	612e637573746f6469612e6c656173652e65737461646f2e53746f72652831293b20612e637573746f6469612e6f627365727661646f722e70616c616272612e53746f72652831293b20612e65737461646f203d20636f6e74696e756163696f6e4335456e7472656761646f4d3338	subyacentes-3-2
C091	C17	omitir-autoridad-conjunta	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_handoff.go	612e6175746f7269646164203d3d206e696c207c7c20612e6175746f72696461642e6175746f20213d20612e6175746f7269646164	66616c7365	autoridad-conjunta
C092	C17	omitir-prevalidacion	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_handoff.go	696620216175746f726964616448616e646f66664f33634d3338286129	69662066616c7365	prevalidacion-conjunta
C093	C17	omitir-C4T	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_handoff.go	612e65737461646f203d20636f6e74696e756163696f6e4334545472616e7366697269656e646f4d3338	5f203d20612e65737461646f	C4T-no-entregable
C094	C17	retornar-parcial	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_handoff.go	666174616c48616e646f66664f33634d33382861290a097d0a09612e65737461646f203d20636f6e74696e756163696f6e4335456e7472656761646f4d3338	72657475726e20612e73616c6964610a097d0a09612e65737461646f203d20636f6e74696e756163696f6e4335456e7472656761646f4d3338	particion-CF-no-retorna
C095	C18	exponer-PID	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	7265746f726e6f436f6e7420696e74	7265746f726e6f436f6e7420696e743b2050494420696e74	PID-no-expuesto
C096	C18	exponer-pidfd	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	7265746f726e6f436f6e7420696e74	7265746f726e6f436f6e7420696e743b20506964666420696e74	pidfd-no-expuesto
